dmu,i_deviazionestandard,i_beta,o_rendimentoatteso
AcomeA_PMITALIA_ESG_A1,0.009,0.48,0.037
Acomea_Pmitalia_Esg_P2,0.021,0.51,0.041
Allianz_Azioni_Italia_All_Stars_A,0.010,0.62,0.047
Albemarle_Target_Italy_A,0.011,0.58,0.037
Algebris_Ucits_Funds_Plc_Algebris_Core_Italy_Fund_R_Eur_Acc,0.010,0.72,0.032
Amundi_Impegno_Italia_B,0.010,0.59,0.038
Amundi_Sviluppo_Attivo_Italia_A,0.011,0.62,0.040
Anima_Iniziativa_Italia_A,0.010,0.57,0.052
Anima_Italia_A,0.010,0.60,0.054
Arca_Azioni_Italia_P,0.011,0.63,0.045
Azimut_Trend_Italia,0.011,0.63,0.043
Bnl_Azioni_Italia,0.011,0.61,0.029
Eurizon_Azioni_Italia_R,0.011,0.64,0.047
Fidelity_Funds_Italy_Fund_A-acc-eur,0.011,0.98,0.054
Fideuram_Italia_R,0.010,0.61,0.057
Mediolanum_Challenge_Italian_Equity_Fund_L_Acc,0.011,0.61,0.028
Mediolanum_Flessibile_Futuro_Italia_La,0.009,0.55,0.033
Zenit_Pianeta_Italia_R,0.008,0.47,0.033
Schroder_International_Selection_Fund_Italian_Equity_A_Accumulation_Eur,0.011,0.94,0.040
Investimenti_Azionario_Italia_A,0.010,0.58,0.040
Interfund_Equity_Italy,0.010,0.61,0.050
Fonditalia_Equity_Italy_R,0.010,0.62,0.049
Abrdn_Sicav_I_Euro_Government_Bond_Fund_A_Acc_Eur,0.005,0.04,-0.046
Amundi_Euro_Government_Bond_Ae,0.004,0.05,-0.038
Anima_Tricolore_A,0.005,0.08,-0.030
Blackrock_Euro_Government_Enhanced_Index_Fund_Flexible_Eur_Acc,0.005,0.06,-0.037
Bluebay_Funds_Bluebay_Investment_Grade_Euro_Government_Bond_Fund_R_Eur_Acc,0.004,0.06,-0.037
Dws_Eurorenta,0.004,0.06,-0.046
Arca_Bb,0.005,0.21,0.004
Anima_Visconteo_Plus_A,0.005,0.22,-0.004
Anima_Visconteo_Plus_Ad,0.005,0.22,-0.009
Arca_Economia_Reale_Bilanciato_Italia_55_Pir,0.006,0.37,0.008
Azimut_Dinamico,0.004,0.20,0.001
Bancoposta_Rinascimento_A,0.004,0.20,-0.001
Carmignac_Portfolio_Patrimoine_Europe_A_Eur_Acc,0.003,0.08,-0.009
Epsilon_Dlongrun,0.005,0.22,-0.020
Eurizon_Am_Sicav_Low_Carbon_Euro_R_Cap,0.005,0.22,-0.007
Eurizon_Bilanciato_Euro_Multimanager,0.005,0.23,-0.009
Fideuram_Bilanciato,0.004,0.19,0.019
Ubs_lux_Key_Selection_Sicav_European_Growth_And_Income_eur_P_acc,0.005,0.22,-0.004
Fidelity_Funds_European_Multi_Asset_Income_Fund_A_acc_eur,0.004,0.24,-0.009