dmu,Deviazione standard ponderato,Beta ponderato,Commissione d'ingresso ponderato,Rendimento atteso ponderato
AcomeA_PMITALIA_ESG_A1,0.0870476282175525,0.6971429196651306,0.029047610711315907,0.08678094346110803
Schroder_International_Selection_Fund_Italian_Equity_C_Accumulation_EUR,0.108,0.84,0.01,0.0664
Symphonia_Azionario_Small_Cap_Italia,0.06177253739597076,0.32878936124309366,0.01992663396585758,0.04891485460704473
Algebris_Core_Italy_R_EUR_Acc,0.086,0.69,0.03,0.0878
Allianz_Azioni_Italia_All_Stars_A,0.10134210742905028,0.7946052779253427,0.01605262960995428,0.07287631368265107
Amundi_Impegno_Italia_B,0.09239648531013783,0.7336123998418489,0.024185013354420137,0.08157796428922955
Amundi_Sviluppo_Attivo_Italia_A,0.09736363597531021,0.7674793361952968,0.019669421840627067,0.07674628136947095
Anima_Iniziativa_Italia_A,0.08626828984350313,0.6918292489329758,0.029756100142269874,0.08753902715222878
Anima_Italia_A,0.08729921368021568,0.6988582750923795,0.028818896654349384,0.08653621942015384
Arca_Azioni_Italia_P,0.08849998755046505,0.7070453696622618,0.02772728404503174,0.08536819392818396
Azimut_Trend_Italia,0.10164654827565309,0.7966810109703618,0.01577586520395176,0.0725801757682284
Bnl_Azioni_Italia,0.1010267961479378,0.7924554282813941,0.01633927622914745,0.07318302556518777
Eurizon_Azioni_Italia_R,0.10164655814314974,0.7966810782487483,0.01577585623350022,0.07258016616984524
Fidelity_Funds_-_Italy_Fund_A-acc-eur,0.06896263637668243,0.5335344157042263,0.03347701298435052,0.07935085844802822
Fideuram_Italia_R,0.09414815274437158,0.7455555868934426,0.022592588414207644,0.07987406960320217
Mediolanum_Challenge_Italian_Equity_Fund_L_Acc,0.09398726455219344,0.7444586219467735,0.022738850407096847,0.08003056993559363
Mediolanum_Flessibile_Futuro_Italia_La,0.09091162028298538,0.7234883201112641,0.02553489065183146,0.08302233299745966
Zenit_Pianeta_Italia_R,0.09735483031104289,0.7674192975752924,0.019677426989961014,0.07675484687925829
Schroder_International_Selection_Fund_Italian_Equity_A_Accumulation_Eur,0.06753622577565221,0.5204347265110918,0.03376811718864241,0.07864347523159897
Investimenti_Azionari_Italia_A,0.10134211213754778,0.7946053100287349,0.016052625329502003,0.07287630910256714
Interfund_Equity_Italy,0.06368009826742409,0.4850213106192008,0.03455508198623998,0.07673115077343684
Fonditalia_Equity_Italy_R,0.08849999762426292,0.7070454383472471,0.0277272748870337,0.08536818412912607
Pictet-eur_Government_Bonds_I,0.035,0.01,0.05,0.0146
AMUNDI_EURO_GOVERNMENT_BOND_-_AE_©,0.02589230243813935,0.015692310976162905,0.03861537804767419,0.014941538658569774
Anima_Tricolore_A,0.053,0.14,0.01,0.0236
JPMorgan_Funds_-_EU_Government_Bond_Fund_D_(acc),0.019,0.02,0.03,0.0152
BlueBay_Funds_-_BlueBay_Investment_Grade_Euro_Government_Bond_Fund_R_EUR_Acc,0.020931502195689247,0.04360724905842413,0.031073056775382916,0.02038286422509948
Dws_Invest_Euro-gov_Bonds_Nc,0.021000006362770156,0.04444452221163528,0.022222229291966843,0.01861112896221628
Bnp_Paribas_Funds_Euro_Government_Bond_Privl_Capitalisation,0.019099990967392285,0.021222111823683495,0.030055550537440155,0.015468309095835967
DPAM_B_Bonds_Eur_Govt_W_Cap,0.02671428109866203,0.11428565787253596,0.028571423442957815,0.03464284419346848
Epsilon_Fund_-_Euro_Bond_Class_Unit_R_Eur_Accumulation,0.017,0.04,0.02,0.0166
Euromobiliare_Reddito_A,0.018157883386268284,0.03631566220967468,0.02421051771686991,0.016991418656628635
Generali_Investments_Sicav_-_Euro_Bond_Fund_Dx,0.02076087348974666,0.0415217870969036,0.030978263049859255,0.0199250105308202
Hsbc_Euro_Gvt_Bond_Fund_Hc,0.019,0.02,0.02,0.013
Ishares_Euro_Government_Bond_Index_Fund_(lu)_F2_Eur,0.020454547016938194,0.019090908114413628,0.031818183771172744,0.015145454486864817
Jpmorgan_Funds_-_Eu_Government_Bond_Fund_A_(acc)_-_Eur,0.019939557591518657,0.03148348167411693,0.030521976439732583,0.017721146203908397
Generali_Investments_Sicav_-_Euro_Bond_Fund_Ex,0.020999997341270525,0.04444441194886199,0.02222221926807836,0.018611103651897866
Investimenti_Bilanciati_Internazionali_C,0.08754686979578948,0.7005468395167465,0.02859375473110047,0.08629531756227751
Anima_Visconteo_Plus_A,0.05735383299687588,0.42692295609375813,0.03584615653124981,0.07359383962906293
Anima_Visconteo_Plus_AD,0.0574828442113853,0.4223226618107082,0.03519350792619346,0.07253718435011258
Arca_Economia_Reale_Bilan_Italia_55_PIR,0.06259698699354356,0.4750743703488694,0.03477612510335846,0.07619401599883896
Azimut_Dinamico,0.06295101887372109,0.4346618778321698,0.029976635230676563,0.06791143863109939
Carmignac_Portfolio_Patrimoine_Europe_A_EUR_Acc,0.037,0.24,0.04,0.0635
Groupama_Bilanciato_-_NC,0.04623575929299062,0.251281319570937,0.03015372056938542,0.05383529933211901
Eurizon_Bilanciato_Euro_Multimanager,0.07001758153242031,0.4847373516558202,0.02692983458256447,0.06854478721117784
Fideuram_Bilanciato,0.07232430863731601,0.5089486081649119,0.026786793508673752,0.07027510339532281
UBS_(Lux)_KSS_Eur_GrInc_€_P-acc,0.05249406252961965,0.3822924109863029,0.0368379464225266,0.07118379019326036
Fidelity_Funds_-_European_Multi_Asset_Income_Fund_A-Acc-EUR,0.03883336827567127,0.25683705559289943,0.03962584320904668,0.06440920100201657
Dpam_B_-_Balanced_Flexible_B,0.058562761593787455,0.4183056473500442,0.03346449214203635,0.07037344901489409
Groupama_Bilanciato_-_Ic,0.04623574362450899,0.25128122943791986,0.03015372958746236,0.05383530197595357
Investimenti_Bilanciati_Internazionali_A,0.08803078342104873,0.7038462505980596,0.028153833253592057,0.0858246015813435
Ubs_(lux)_Key_Selection_Sicav_-_European_Growth_And_Income_(eur)_Q-acc,0.05249406149564178,0.38229240149058774,0.0368379466335425,0.07118378968049174
